ruleset,budget,player,enemy,samples,player_hp,player_damage,wins,limits,mean_ticks,mean_attacks,mean_chain,max_chain
v1-3f2da0de4bed,4000,S,S,100,180,40,0,0,5000,11,1,1
v1-3f2da0de4bed,4000,S,E,100,180,40,100,0,5000,12,1,1
v1-3f2da0de4bed,4000,S,M,100,180,40,100,0,5830,13.27,1,1
v1-3f2da0de4bed,4000,S,D,100,180,40,100,0,5000,12,1,1
v1-3f2da0de4bed,4000,S,SE,100,180,40,100,0,6000,13,1,1
v1-3f2da0de4bed,4000,S,SM,100,180,40,98,0,5890,13.31,1,1
v1-3f2da0de4bed,4000,S,SD,100,180,40,100,0,5000,12,1,1
v1-3f2da0de4bed,4000,S,EM,100,180,40,100,0,5360,12.72,1,1
v1-3f2da0de4bed,4000,S,ED,100,180,40,100,0,5000,12.39,1.033,4
v1-3f2da0de4bed,4000,S,MD,100,180,40,100,0,5470,12.71,1,1
v1-3f2da0de4bed,4000,S,SEMD,100,180,40,0,0,10333.26,22.56,1.014,3
v1-3f2da0de4bed,4000,E,S,100,180,16,0,0,5000,11,1,1
v1-3f2da0de4bed,4000,E,E,100,180,16,100,0,16000,33,1,1
v1-3f2da0de4bed,4000,E,M,100,180,16,72,0,17430,36.45,1,1
v1-3f2da0de4bed,4000,E,D,100,180,16,94,0,15930,32.87,1,1
v1-3f2da0de4bed,4000,E,SE,100,180,16,0,0,8000,18,1,1
v1-3f2da0de4bed,4000,E,SM,100,180,16,0,0,8000,18,1,1
v1-3f2da0de4bed,4000,E,SD,100,180,16,0,0,7920,17.76,1,1
v1-3f2da0de4bed,4000,E,EM,100,180,16,41,0,16088.5,34.59,1,1
v1-3f2da0de4bed,4000,E,ED,100,180,16,48,0,15140,32.43,1.031,4
v1-3f2da0de4bed,4000,E,MD,100,180,16,60,0,16720,34.7,1,1
v1-3f2da0de4bed,4000,E,SEMD,100,180,16,0,0,10333.26,22.56,1.014,3
v1-3f2da0de4bed,4000,M,S,100,180,16,0,0,5610,12.49,1,1
v1-3f2da0de4bed,4000,M,E,100,180,16,45,0,17180,35.63,1,1
v1-3f2da0de4bed,4000,M,M,100,180,16,52,0,19190,39.85,1,1
v1-3f2da0de4bed,4000,M,D,100,180,16,76,0,17660,36.38,1,1
v1-3f2da0de4bed,4000,M,SE,100,180,16,0,0,8830,19.21,1,1
v1-3f2da0de4bed,4000,M,SM,100,180,16,0,0,9200,20.12,1,1
v1-3f2da0de4bed,4000,M,SD,100,180,16,0,0,9010,19.67,1,1
v1-3f2da0de4bed,4000,M,EM,100,180,16,30,0,17678.5,37.86,1,1
v1-3f2da0de4bed,4000,M,ED,100,180,16,41,0,16740,35.59,1.026,4
v1-3f2da0de4bed,4000,M,MD,100,180,16,43,0,18330,37.98,1,1
v1-3f2da0de4bed,4000,M,SEMD,100,180,16,0,0,11588.43,25.2,1.015,3
v1-3f2da0de4bed,4000,D,S,100,180,16,0,0,5000,11,1,1
v1-3f2da0de4bed,4000,D,E,100,180,16,28,0,15980,33.7,1,1
v1-3f2da0de4bed,4000,D,M,100,180,16,44,0,17730,37.15,1,1
v1-3f2da0de4bed,4000,D,D,100,180,16,36,0,16450,34.15,1,1
v1-3f2da0de4bed,4000,D,SE,100,180,16,0,0,8000,18,1,1
v1-3f2da0de4bed,4000,D,SM,100,180,16,0,0,8000,18,1,1
v1-3f2da0de4bed,4000,D,SD,100,180,16,0,0,7920,17.76,1,1
v1-3f2da0de4bed,4000,D,EM,100,180,16,12,0,16112,34.84,1,1
v1-3f2da0de4bed,4000,D,ED,100,180,16,15,0,15260,32.88,1.031,4
v1-3f2da0de4bed,4000,D,MD,100,180,16,36,0,17070,35.45,1,1
v1-3f2da0de4bed,4000,D,SEMD,100,180,16,0,0,10333.26,22.56,1.014,3
v1-3f2da0de4bed,4000,SE,S,100,180,28,0,0,6000,14,1,1
v1-3f2da0de4bed,4000,SE,E,100,180,28,100,0,8000,17,1,1
v1-3f2da0de4bed,4000,SE,M,100,180,28,100,0,9030,19.55,1,1
v1-3f2da0de4bed,4000,SE,D,100,180,28,100,0,8000,17,1,1
v1-3f2da0de4bed,4000,SE,SE,100,180,28,100,0,10000,21,1,1
v1-3f2da0de4bed,4000,SE,SM,100,180,28,88,0,8800,19.04,1,1
v1-3f2da0de4bed,4000,SE,SD,100,180,28,100,0,8000,17,1,1
v1-3f2da0de4bed,4000,SE,EM,100,180,28,100,0,8510,19.02,1,1
v1-3f2da0de4bed,4000,SE,ED,100,180,28,100,0,8000,17.53,1.031,4
v1-3f2da0de4bed,4000,SE,MD,100,180,28,100,0,8590,18.49,1,1
